state,district,agro_climatic_zone,crop,crop_type,season,soil_n,soil_p,soil_k,soil_ph,avg_temperature,avg_rainfall,humidity,area_hectare,yield_ton_per_hectare
Andhra Pradesh,Andhra Pradesh District 5,Eastern Plateau & Hills,Sugarcane,Agriculture,Rabi,109,41,40,7.54,31.6,556.2,62.9,3.63,5.36
Andhra Pradesh,Andhra Pradesh District 4,Eastern Plateau & Hills,Sugarcane,Agriculture,Zaid,75,38,55,6.78,21.9,1396.8,47.8,3.61,3.24
Andhra Pradesh,Andhra Pradesh District 2,Eastern Plateau & Hills,Sugarcane,Agriculture,Kharif,50,47,86,5.78,33.7,1791.5,51.6,3.47,5.18
Andhra Pradesh,Andhra Pradesh District 1,Eastern Plateau & Hills,Cotton,Agriculture,Kharif,41,20,77,7.91,27.5,1800.5,48.5,1.75,4.65
Andhra Pradesh,Andhra Pradesh District 3,Eastern Plateau & Hills,Cotton,Agriculture,Rabi,72,43,81,5.71,20.7,1827.5,67.3,0.54,1.96
Andhra Pradesh,Andhra Pradesh District 3,Eastern Plateau & Hills,Cotton,Agriculture,Kharif,57,37,31,7.23,29.1,681.3,72.0,1.57,2.96
Andhra Pradesh,Andhra Pradesh District 4,Eastern Plateau & Hills,Cotton,Agriculture,Zaid,106,36,62,6.86,26.6,1381.8,51.3,3.15,5.91
Andhra Pradesh,Andhra Pradesh District 3,Eastern Plateau & Hills,Cotton,Agriculture,Rabi,47,46,56,7.49,26.5,1280.7,62.2,1.38,4.75
Andhra Pradesh,Andhra Pradesh District 3,Eastern Plateau & Hills,Tomato,Horticulture,Zaid,103,36,73,7.85,34.2,1855.3,56.7,0.57,5.68
Andhra Pradesh,Andhra Pradesh District 1,Eastern Plateau & Hills,Tomato,Horticulture,Rabi,92,50,64,7.95,19.3,819.7,48.6,1.71,3.68
Andhra Pradesh,Andhra Pradesh District 2,Eastern Plateau & Hills,Tomato,Horticulture,Kharif,93,22,69,5.68,21.6,1440.9,56.1,1.64,2.83
Andhra Pradesh,Andhra Pradesh District 2,Eastern Plateau & Hills,Tomato,Horticulture,Kharif,72,28,72,7.27,27.4,804.1,58.9,1.65,4.25
Andhra Pradesh,Andhra Pradesh District 4,Eastern Plateau & Hills,Tomato,Horticulture,Rabi,46,55,74,5.99,19.2,974.5,42.3,4.49,1.62
Andhra Pradesh,Andhra Pradesh District 2,Eastern Plateau & Hills,Potato,Horticulture,Rabi,71,42,51,6.32,20.6,1969.1,77.8,4.37,2.63
Andhra Pradesh,Andhra Pradesh District 2,Eastern Plateau & Hills,Potato,Horticulture,Rabi,54,56,62,7.57,22.6,1940.9,60.6,4.29,2.37
Andhra Pradesh,Andhra Pradesh District 3,Eastern Plateau & Hills,Potato,Horticulture,Zaid,79,35,42,7.92,30.1,369.8,57.9,2.45,4.85
Andhra Pradesh,Andhra Pradesh District 2,Eastern Plateau & Hills,Potato,Horticulture,Kharif,101,42,38,7.22,19.0,1855.9,59.9,1.58,1.92
Andhra Pradesh,Andhra Pradesh District 1,Eastern Plateau & Hills,Potato,Horticulture,Kharif,40,35,68,7.14,25.4,1541.1,42.1,3.05,2.21
Andhra Pradesh,Andhra Pradesh District 1,Eastern Plateau & Hills,Onion,Horticulture,Kharif,117,47,34,5.74,23.3,1965.2,47.9,0.58,4.94
Andhra Pradesh,Andhra Pradesh District 5,Eastern Plateau & Hills,Onion,Horticulture,Zaid,72,49,66,6.5,28.5,1379.7,42.0,2.19,4.32
Andhra Pradesh,Andhra Pradesh District 2,Eastern Plateau & Hills,Onion,Horticulture,Kharif,108,23,45,5.68,28.9,345.1,66.4,4.73,4.09
Andhra Pradesh,Andhra Pradesh District 2,Eastern Plateau & Hills,Onion,Horticulture,Zaid,72,52,80,7.55,28.6,1694.7,69.3,1.43,2.73
Andhra Pradesh,Andhra Pradesh District 4,Eastern Plateau & Hills,Onion,Horticulture,Zaid,85,21,80,7.05,23.7,1414.7,57.3,3.57,3.03
Andhra Pradesh,Andhra Pradesh District 3,Eastern Plateau & Hills,Banana,Horticulture,Kharif,46,23,87,7.24,28.7,1791.7,73.1,4.12,2.77
Andhra Pradesh,Andhra Pradesh District 2,Eastern Plateau & Hills,Banana,Horticulture,Kharif,112,43,64,7.98,25.0,932.4,74.9,2.03,5.69
Andhra Pradesh,Andhra Pradesh District 5,Eastern Plateau & Hills,Banana,Horticulture,Kharif,94,32,52,7.39,19.8,1834.3,62.7,4.22,2.94
Andhra Pradesh,Andhra Pradesh District 3,Eastern Plateau & Hills,Banana,Horticulture,Zaid,88,55,41,7.9,32.4,903.3,83.1,3.55,3.67
Andhra Pradesh,Andhra Pradesh District 2,Eastern Plateau & Hills,Banana,Horticulture,Zaid,55,24,64,7.01,27.4,661.6,82.6,4.02,2.01
Andhra Pradesh,Andhra Pradesh District 5,Eastern Plateau & Hills,Mango,Horticulture,Rabi,97,58,43,6.87,25.5,1809.1,55.8,1.03,2.14
Andhra Pradesh,Andhra Pradesh District 2,Eastern Plateau & Hills,Mango,Horticulture,Rabi,56,57,36,6.57,21.8,974.3,80.1,1.16,3.81
Andhra Pradesh,Andhra Pradesh District 3,Eastern Plateau & Hills,Mango,Horticulture,Kharif,104,41,81,6.09,33.4,1306.2,55.8,3.69,3.67
Andhra Pradesh,Andhra Pradesh District 4,Eastern Plateau & Hills,Mango,Horticulture,Rabi,78,46,39,7.77,19.9,1137.5,40.5,2.61,1.75
Andhra Pradesh,Andhra Pradesh District 4,Eastern Plateau & Hills,Mango,Horticulture,Kharif,78,20,32,6.96,34.4,937.3,52.9,4.41,2.51
Arunachal Pradesh,Arunachal Pradesh District 2,Eastern Himalayas,Rice,Agriculture,Kharif,71,40,45,6.82,34.9,425.5,64.9,4.86,3.85
Arunachal Pradesh,Arunachal Pradesh District 1,Eastern Himalayas,Rice,Agriculture,Kharif,53,34,60,7.99,29.8,953.1,73.2,4.62,5.81
Arunachal Pradesh,Arunachal Pradesh District 4,Eastern Himalayas,Rice,Agriculture,Kharif,47,47,65,6.66,24.0,1292.2,43.5,4.88,5.94
Arunachal Pradesh,Arunachal Pradesh District 1,Eastern Himalayas,Rice,Agriculture,Kharif,72,39,42,7.21,20.8,1848.6,77.0,4.77,4.77
Arunachal Pradesh,Arunachal Pradesh District 1,Eastern Himalayas,Rice,Agriculture,Rabi,49,49,79,6.88,20.8,999.1,75.0,2.66,5.93
Arunachal Pradesh,Arunachal Pradesh District 3,Eastern Himalayas,Wheat,Agriculture,Kharif,65,44,51,7.57,27.7,408.0,41.7,1.1,1.56
Arunachal Pradesh,Arunachal Pradesh District 4,Eastern Himalayas,Wheat,Agriculture,Kharif,108,50,34,7.99,27.4,1607.3,82.5,4.32,2.61
Arunachal Pradesh,Arunachal Pradesh District 1,Eastern Himalayas,Wheat,Agriculture,Rabi,40,32,33,6.07,29.4,1350.8,56.1,1.01,4.52
Arunachal Pradesh,Arunachal Pradesh District 2,Eastern Himalayas,Wheat,Agriculture,Rabi,42,31,30,6.88,27.5,1790.3,58.2,1.1,1.63
Arunachal Pradesh,Arunachal Pradesh District 5,Eastern Himalayas,Wheat,Agriculture,Kharif,53,21,40,6.03,20.3,324.7,55.8,3.15,3.27
Arunachal Pradesh,Arunachal Pradesh District 3,Eastern Himalayas,Maize,Agriculture,Zaid,102,53,81,6.87,25.7,1847.8,53.4,2.86,4.64
Arunachal Pradesh,Arunachal Pradesh District 5,Eastern Himalayas,Maize,Agriculture,Rabi,95,36,39,7.42,19.1,378.0,67.9,2.06,2.44
Arunachal Pradesh,Arunachal Pradesh District 3,Eastern Himalayas,Maize,Agriculture,Zaid,62,35,60,6.5,29.9,606.1,71.3,2.35,5.43
Arunachal Pradesh,Arunachal Pradesh District 3,Eastern Himalayas,Maize,Agriculture,Kharif,71,38,50,5.92,22.7,600.9,44.0,1.04,3.57
Arunachal Pradesh,Arunachal Pradesh District 2,Eastern Himalayas,Maize,Agriculture,Rabi,73,33,55,7.23,18.7,1659.0,68.3,0.87,5.43
Arunachal Pradesh,Arunachal Pradesh District 5,Eastern Himalayas,Sugarcane,Agriculture,Kharif,65,55,30,5.71,28.2,1976.6,64.1,4.66,2.56
Arunachal Pradesh,Arunachal Pradesh District 4,Eastern Himalayas,Sugarcane,Agriculture,Zaid,117,43,31,7.37,18.6,729.1,72.1,4.53,3.8
Arunachal Pradesh,Arunachal Pradesh District 4,Eastern Himalayas,Sugarcane,Agriculture,Kharif,57,57,64,6.49,19.8,1553.6,48.2,3.04,5.28
Arunachal Pradesh,Arunachal Pradesh District 2,Eastern Himalayas,Sugarcane,Agriculture,Rabi,83,44,46,6.36,26.1,903.7,69.2,2.66,4.13
Arunachal Pradesh,Arunachal Pradesh District 2,Eastern Himalayas,Sugarcane,Agriculture,Zaid,47,59,78,6.91,24.4,873.7,80.5,3.23,2.6
Arunachal Pradesh,Arunachal Pradesh District 3,Eastern Himalayas,Cotton,Agriculture,Kharif,109,56,86,6.09,19.7,559.9,51.1,1.22,2.34
Arunachal Pradesh,Arunachal Pradesh District 1,Eastern Himalayas,Cotton,Agriculture,Zaid,42,50,69,7.24,35.0,1824.2,65.9,4.63,1.52
Arunachal Pradesh,Arunachal Pradesh District 1,Eastern Himalayas,Cotton,Agriculture,Rabi,90,21,44,6.84,26.1,1725.6,49.2,4.86,4.7
Arunachal Pradesh,Arunachal Pradesh District 4,Eastern Himalayas,Cotton,Agriculture,Kharif,59,31,76,7.27,31.1,448.4,62.8,4.69,2.94
Arunachal Pradesh,Arunachal Pradesh District 3,Eastern Himalayas,Cotton,Agriculture,Kharif,45,29,34,5.66,34.8,848.0,76.4,1.65,4.57
Arunachal Pradesh,Arunachal Pradesh District 1,Eastern Himalayas,Tomato,Horticulture,Kharif,114,34,53,7.02,31.5,481.4,78.3,3.86,3.34
Arunachal Pradesh,Arunachal Pradesh District 5,Eastern Himalayas,Tomato,Horticulture,Zaid,48,53,41,6.45,33.7,1526.7,42.2,4.02,5.23
Arunachal Pradesh,Arunachal Pradesh District 5,Eastern Himalayas,Tomato,Horticulture,Rabi,99,49,64,5.91,31.8,1430.8,63.5,2.11,5.45
Arunachal Pradesh,Arunachal Pradesh District 1,Eastern Himalayas,Tomato,Horticulture,Rabi,79,27,68,7.28,33.3,1361.0,64.3,2.47,4.1
Arunachal Pradesh,Arunachal Pradesh District 1,Eastern Himalayas,Tomato,Horticulture,Kharif,105,33,82,7.77,28.6,498.7,82.3,3.32,3.01
Arunachal Pradesh,Arunachal Pradesh District 4,Eastern Himalayas,Potato,Horticulture,Zaid,68,52,81,7.35,27.7,1996.1,73.9,3.68,5.0
Arunachal Pradesh,Arunachal Pradesh District 1,Eastern Himalayas,Potato,Horticulture,Rabi,107,41,31,7.41,32.9,881.5,77.0,1.0,5.31
Arunachal Pradesh,Arunachal Pradesh District 4,Eastern Himalayas,Potato,Horticulture,Zaid,68,27,34,6.72,25.0,1612.2,40.5,3.19,4.04
Arunachal Pradesh,Arunachal Pradesh District 2,Eastern Himalayas,Potato,Horticulture,Zaid,66,24,49,5.95,33.4,1291.8,58.0,2.58,5.76
Arunachal Pradesh,Arunachal Pradesh District 4,Eastern Himalayas,Potato,Horticulture,Rabi,52,59,47,7.03,18.3,1782.6,81.9,3.04,4.63
Arunachal Pradesh,Arunachal Pradesh District 5,Eastern Himalayas,Onion,Horticulture,Zaid,70,28,83,5.69,19.8,1728.7,81.0,1.05,2.56
Arunachal Pradesh,Arunachal Pradesh District 2,Eastern Himalayas,Onion,Horticulture,Rabi,75,42,86,6.33,23.3,686.6,67.4,2.21,4.85
Arunachal Pradesh,Arunachal Pradesh District 2,Eastern Himalayas,Onion,Horticulture,Kharif,65,54,81,6.84,33.6,888.8,55.6,3.82,3.53
Arunachal Pradesh,Arunachal Pradesh District 3,Eastern Himalayas,Onion,Horticulture,Zaid,90,43,54,6.75,25.1,1855.2,56.3,3.11,4.35
Arunachal Pradesh,Arunachal Pradesh District 4,Eastern Himalayas,Onion,Horticulture,Rabi,88,26,46,7.9,20.5,1004.9,43.8,4.99,3.76
Arunachal Pradesh,Arunachal Pradesh District 1,Eastern Himalayas,Banana,Horticulture,Kharif,90,38,61,6.67,28.6,942.1,77.6,3.14,2.82
Arunachal Pradesh,Arunachal Pradesh District 3,Eastern Himalayas,Banana,Horticulture,Zaid,105,47,78,6.5,27.5,563.9,48.2,4.38,5.76
Arunachal Pradesh,Arunachal Pradesh District 2,Eastern Himalayas,Banana,Horticulture,Rabi,73,52,52,7.95,32.3,1773.9,58.4,2.98,2.64
Arunachal Pradesh,Arunachal Pradesh District 3,Eastern Himalayas,Banana,Horticulture,Zaid,111,56,32,7.72,27.5,1525.4,76.2,4.95,4.21
Arunachal Pradesh,Arunachal Pradesh District 3,Eastern Himalayas,Banana,Horticulture,Kharif,93,40,43,6.23,33.2,322.1,43.8,1.44,1.62
Arunachal Pradesh,Arunachal Pradesh District 5,Eastern Himalayas,Mango,Horticulture,Zaid,75,48,89,7.26,33.5,1362.1,55.1,4.21,3.13
Arunachal Pradesh,Arunachal Pradesh District 4,Eastern Himalayas,Mango,Horticulture,Kharif,76,57,59,6.41,32.6,673.2,83.9,4.01,2.01
Arunachal Pradesh,Arunachal Pradesh District 3,Eastern Himalayas,Mango,Horticulture,Rabi,53,28,69,7.25,24.8,670.6,69.0,2.4,2.1
Arunachal Pradesh,Arunachal Pradesh District 5,Eastern Himalayas,Mango,Horticulture,Kharif,76,30,35,7.79,20.0,1280.1,52.3,2.99,4.43
Arunachal Pradesh,Arunachal Pradesh District 2,Eastern Himalayas,Mango,Horticulture,Zaid,66,50,35,7.33,22.3,1376.3,62.2,3.08,5.27
Assam,Assam District 5,Eastern Himalayas,Rice,Agriculture,Rabi,85,21,89,7.9,21.1,453.6,74.7,0.81,5.27
Assam,Assam District 3,Eastern Himalayas,Rice,Agriculture,Kharif,98,58,69,6.92,26.1,1428.2,82.2,3.8,2.47
Assam,Assam District 4,Eastern Himalayas,Rice,Agriculture,Zaid,59,38,64,7.6,32.4,1923.9,47.0,3.3,3.63
Assam,Assam District 1,Eastern Himalayas,Rice,Agriculture,Kharif,79,36,30,6.74,29.7,1039.2,51.1,4.19,5.1
Assam,Assam District 4,Eastern Himalayas,Rice,Agriculture,Zaid,51,38,66,5.73,33.6,532.6,82.8,2.51,2.33
Assam,Assam District 3,Eastern Himalayas,Wheat,Agriculture,Zaid,60,36,52,7.31,28.8,1967.0,80.7,3.41,4.62
Assam,Assam District 1,Eastern Himalayas,Wheat,Agriculture,Kharif,65,51,39,6.97,35.0,1244.9,61.3,1.91,2.04
Assam,Assam District 1,Eastern Himalayas,Wheat,Agriculture,Zaid,87,27,79,6.55,31.5,1566.6,42.5,2.55,3.85
Assam,Assam District 1,Eastern Himalayas,Wheat,Agriculture,Rabi,70,43,64,6.9,26.2,1804.5,63.9,2.48,3.32
Assam,Assam District 1,Eastern Himalayas,Wheat,Agriculture,Kharif,64,32,47,6.8,25.3,1790.3,58.8,2.58,5.96
Assam,Assam District 3,Eastern Himalayas,Maize,Agriculture,Zaid,52,32,47,7.85,31.6,1996.5,55.8,3.95,3.31
Assam,Assam District 5,Eastern Himalayas,Maize,Agriculture,Kharif,55,29,59,6.54,25.2,1553.9,50.7,1.0,3.1
Assam,Assam District 2,Eastern Himalayas,Maize,Agriculture,Rabi,101,56,54,6.19,33.5,376.7,44.9,2.26,2.06
Assam,Assam District 3,Eastern Himalayas,Maize,Agriculture,Rabi,76,56,72,6.97,34.7,1803.1,67.0,4.57,5.95
Assam,Assam District 4,Eastern Himalayas,Maize,Agriculture,Zaid,111,39,58,7.12,28.3,1171.6,50.4,1.29,2.49
Assam,Assam District 1,Eastern Himalayas,Sugarcane,Agriculture,Rabi,42,25,34,5.64,34.5,1802.4,81.7,4.98,2.28
Assam,Assam District 2,Eastern Himalayas,Sugarcane,Agriculture,Zaid,89,37,46,5.88,31.9,681.5,50.1,2.92,4.17
Assam,Assam District 5,Eastern Himalayas,Sugarcane,Agriculture,Rabi,50,22,88,5.82,33.1,1924.6,78.8,4.14,4.45
Assam,Assam District 5,Eastern Himalayas,Sugarcane,Agriculture,Zaid,98,53,53,6.13,18.1,1482.7,42.2,2.9,5.83
Assam,Assam District 5,Eastern Himalayas,Sugarcane,Agriculture,Kharif,116,36,79,6.74,26.2,1307.1,77.1,2.07,4.55
Assam,Assam District 3,Eastern Himalayas,Cotton,Agriculture,Kharif,72,25,53,7.49,29.2,1746.0,79.0,3.69,5.27
Assam,Assam District 1,Eastern Himalayas,Cotton,Agriculture,Kharif,81,55,56,7.38,20.7,1797.5,79.2,0.63,5.22
Assam,Assam District 2,Eastern Himalayas,Cotton,Agriculture,Zaid,92,49,68,5.9,31.9,1714.6,62.8,0.53,2.79
Assam,Assam District 3,Eastern Himalayas,Cotton,Agriculture,Kharif,56,59,60,6.44,18.2,1691.8,45.8,1.78,1.58
Assam,Assam District 1,Eastern Himalayas,Cotton,Agriculture,Rabi,102,47,89,5.95,30.8,1641.0,47.8,3.97,5.76
Assam,Assam District 1,Eastern Himalayas,Tomato,Horticulture,Rabi,56,29,83,6.36,28.6,377.8,79.2,4.88,5.86
Assam,Assam District 4,Eastern Himalayas,Tomato,Horticulture,Zaid,91,31,36,5.66,32.0,932.1,76.8,1.64,1.5
Assam,Assam District 2,Eastern Himalayas,Tomato,Horticulture,Rabi,68,23,46,5.76,32.5,1195.9,77.2,1.84,5.28
Assam,Assam District 4,Eastern Himalayas,Tomato,Horticulture,Rabi,114,46,32,7.88,20.6,1035.0,82.5,2.39,4.37
Assam,Assam District 3,Eastern Himalayas,Tomato,Horticulture,Kharif,108,22,88,6.52,33.2,690.9,49.6,0.64,4.43
Assam,Assam District 4,Eastern Himalayas,Potato,Horticulture,Rabi,54,35,56,7.92,21.2,1776.7,74.9,3.97,5.3
Assam,Assam District 4,Eastern Himalayas,Potato,Horticulture,Zaid,42,48,73,5.58,33.7,1348.3,75.8,2.67,2.03
Assam,Assam District 1,Eastern Himalayas,Potato,Horticulture,Rabi,48,57,77,6.73,19.1,1289.4,52.1,4.09,2.9
Assam,Assam District 5,Eastern Himalayas,Potato,Horticulture,Kharif,111,40,47,7.2,24.7,1957.0,72.5,3.46,4.91
Assam,Assam District 4,Eastern Himalayas,Potato,Horticulture,Rabi,80,27,40,6.7,19.8,711.5,84.4,1.14,3.74
Assam,Assam District 4,Eastern Himalayas,Onion,Horticulture,Kharif,113,59,61,7.85,19.2,1208.2,79.7,0.87,5.21
Assam,Assam District 2,Eastern Himalayas,Onion,Horticulture,Rabi,105,57,68,6.0,29.8,1696.4,41.9,3.52,5.78
Assam,Assam District 5,Eastern Himalayas,Onion,Horticulture,Zaid,45,28,35,7.04,28.4,808.0,82.1,4.76,4.31
Assam,Assam District 4,Eastern Himalayas,Onion,Horticulture,Rabi,46,30,49,6.88,28.2,1632.5,61.6,0.68,2.24
Assam,Assam District 3,Eastern Himalayas,Onion,Horticulture,Rabi,51,42,41,5.9,32.8,672.7,83.9,2.02,2.32
Assam,Assam District 5,Eastern Himalayas,Banana,Horticulture,Zaid,71,37,35,7.3,21.9,1993.8,83.9,3.43,2.4
Assam,Assam District 3,Eastern Himalayas,Banana,Horticulture,Kharif,93,34,62,7.6,21.0,1933.3,58.7,4.31,4.33
Assam,Assam District 4,Eastern Himalayas,Banana,Horticulture,Rabi,59,43,79,7.67,27.8,1045.6,72.6,2.69,5.43
Assam,Assam District 2,Eastern Himalayas,Banana,Horticulture,Rabi,78,31,32,7.06,28.7,1546.3,45.9,3.72,5.59
Assam,Assam District 2,Eastern Himalayas,Banana,Horticulture,Rabi,117,21,84,6.53,19.2,1043.2,44.4,2.32,4.17
Assam,Assam District 1,Eastern Himalayas,Mango,Horticulture,Rabi,109,36,88,6.28,24.8,1758.6,40.4,3.15,4.19
Assam,Assam District 4,Eastern Himalayas,Mango,Horticulture,Kharif,62,50,40,7.71,25.5,862.5,60.2,3.51,2.16
Assam,Assam District 5,Eastern Himalayas,Mango,Horticulture,Zaid,115,20,86,5.92,20.8,362.3,73.1,3.49,3.64
Assam,Assam District 1,Eastern Himalayas,Mango,Horticulture,Zaid,118,25,73,6.85,18.6,1977.4,45.5,1.54,1.73
Assam,Assam District 1,Eastern Himalayas,Mango,Horticulture,Zaid,74,25,66,7.83,23.4,1162.3,41.9,1.17,5.94
Bihar,Bihar District 3,Middle Gangetic Plains,Rice,Agriculture,Zaid,89,48,86,6.95,22.3,1186.9,55.4,2.9,2.07
Bihar,Bihar District 5,Middle Gangetic Plains,Rice,Agriculture,Rabi,47,40,30,7.33,20.7,698.8,83.4,1.65,4.48
Bihar,Bihar District 2,Middle Gangetic Plains,Rice,Agriculture,Zaid,113,49,79,6.11,32.1,1769.8,74.6,1.01,5.08
Bihar,Bihar District 4,Middle Gangetic Plains,Rice,Agriculture,Kharif,40,38,60,7.15,24.7,1407.1,44.8,3.46,6.0
Bihar,Bihar District 1,Middle Gangetic Plains,Rice,Agriculture,Kharif,80,44,77,7.38,19.5,790.8,44.9,3.43,4.94
Bihar,Bihar District 4,Middle Gangetic Plains,Wheat,Agriculture,Rabi,58,25,63,7.41,31.6,1040.5,76.8,1.04,3.95
Bihar,Bihar District 1,Middle Gangetic Plains,Wheat,Agriculture,Kharif,54,20,41,7.02,27.6,946.7,64.7,3.18,3.96
Bihar,Bihar District 3,Middle Gangetic Plains,Wheat,Agriculture,Rabi,50,54,37,7.17,28.5,1087.9,57.1,4.39,3.84
Bihar,Bihar District 4,Middle Gangetic Plains,Wheat,Agriculture,Kharif,65,44,41,5.87,27.0,718.3,61.5,2.27,3.97
Bihar,Bihar District 2,Middle Gangetic Plains,Wheat,Agriculture,Zaid,82,40,52,6.58,33.2,421.2,83.0,3.45,3.21
Bihar,Bihar District 4,Middle Gangetic Plains,Maize,Agriculture,Kharif,52,41,48,5.75,26.3,736.5,52.8,1.88,5.11
Bihar,Bihar District 3,Middle Gangetic Plains,Maize,Agriculture,Rabi,75,49,47,6.5,34.6,1699.4,63.5,1.05,5.37
Bihar,Bihar District 5,Middle Gangetic Plains,Maize,Agriculture,Zaid,110,55,49,6.71,31.7,1235.4,42.0,3.35,5.78
Bihar,Bihar District 5,Middle Gangetic Plains,Maize,Agriculture,Rabi,48,45,38,7.12,21.0,913.3,80.8,3.96,4.0
Bihar,Bihar District 3,Middle Gangetic Plains,Maize,Agriculture,Kharif,107,43,48,7.63,29.4,1676.2,74.5,1.17,3.41
Bihar,Bihar District 5,Middle Gangetic Plains,Sugarcane,Agriculture,Zaid,88,54,73,7.66,21.7,462.7,41.1,3.39,4.23
Bihar,Bihar District 3,Middle Gangetic Plains,Sugarcane,Agriculture,Rabi,112,33,42,6.99,26.4,1979.2,46.1,3.63,3.32
Bihar,Bihar District 5,Middle Gangetic Plains,Sugarcane,Agriculture,Zaid,80,30,68,6.35,31.9,1325.5,55.2,4.57,4.98
Bihar,Bihar District 4,Middle Gangetic Plains,Sugarcane,Agriculture,Kharif,75,22,38,6.31,21.9,903.5,43.1,2.84,1.8
Bihar,Bihar District 5,Middle Gangetic Plains,Sugarcane,Agriculture,Zaid,71,40,37,7.7,29.1,1206.0,54.6,2.0,4.51
Bihar,Bihar District 4,Middle Gangetic Plains,Cotton,Agriculture,Rabi,74,53,52,6.66,19.0,1255.9,83.1,1.29,4.61
Bihar,Bihar District 1,Middle Gangetic Plains,Cotton,Agriculture,Zaid,119,49,86,7.55,18.0,811.5,84.2,2.64,3.22
Bihar,Bihar District 4,Middle Gangetic Plains,Cotton,Agriculture,Zaid,44,39,69,7.42,22.1,1441.6,44.2,1.66,5.05
Bihar,Bihar District 1,Middle Gangetic Plains,Cotton,Agriculture,Kharif,55,31,67,5.9,19.1,500.0,50.2,2.04,3.21
Bihar,Bihar District 2,Middle Gangetic Plains,Cotton,Agriculture,Zaid,112,20,40,7.56,22.8,1902.1,79.3,1.23,5.04
Bihar,Bihar District 4,Middle Gangetic Plains,Tomato,Horticulture,Kharif,51,57,47,7.07,29.5,1205.2,72.5,1.14,2.45
Bihar,Bihar District 1,Middle Gangetic Plains,Tomato,Horticulture,Zaid,60,54,31,5.88,21.8,1927.4,65.8,4.7,4.09
Bihar,Bihar District 5,Middle Gangetic Plains,Tomato,Horticulture,Rabi,72,55,60,6.72,28.3,1600.2,47.9,2.76,3.29
Bihar,Bihar District 1,Middle Gangetic Plains,Tomato,Horticulture,Kharif,47,40,63,6.77,22.0,435.9,75.0,1.05,4.17
Bihar,Bihar District 4,Middle Gangetic Plains,Tomato,Horticulture,Rabi,99,25,61,6.04,28.5,1405.3,46.8,0.78,5.01
Bihar,Bihar District 2,Middle Gangetic Plains,Potato,Horticulture,Kharif,41,30,79,5.64,29.8,1972.3,50.8,1.14,2.05
Bihar,Bihar District 3,Middle Gangetic Plains,Potato,Horticulture,Zaid,119,35,89,7.05,28.8,689.1,50.5,1.49,2.28
